SSID: eduroam, BSSID: d0:4d:c6:f2:43:a0, RSSI: -53
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:01, RSSI: -74
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:a1, RSSI: -53
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:a2, RSSI: -53
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -79
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -78
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:fc:81, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f2:36:b2, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:b1, RSSI: -86
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:36:a1, RSSI: -82
SSID: eduroam, BSSID: d0:4d:c6:f2:36:a0, RSSI: -83
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:02, RSSI: -74
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -79
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -79
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -79
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -80
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -80
SSID: eduroam, BSSID: d0:4d:c6:f2:34:f0, RSSI: -92
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -86
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:92, RSSI: -85
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:50:91, RSSI: -85
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -85
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:a2, RSSI: -78
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:a1, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -86
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:65:e1:f1, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:e1:f0, RSSI: -91
SSID: TUD-facility, BSSID: 1c:28:af:65:e1:f2, RSSI: -91
