SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:02, RSSI: -87
SSID: TUD-facility, BSSID: d0:4d:c6:f3:15:d2, RSSI: -91
SSID: TUD-facility, BSSID: d0:4d:c6:f1:9f:a2, RSSI: -90
SSID: eduroam, BSSID: d0:4d:c6:f1:9f:a0, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f1:9f:a1, RSSI: -90
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:81:11, RSSI: -90
SSID: TUD-facility, BSSID: d0:4d:c6:f2:81:12, RSSI: -89
SSID: eduroam, BSSID: d0:4d:c6:f2:81:10, RSSI: -90
SSID: eduroam, BSSID: 1c:28:af:61:ef:d0, RSSI: -94
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fd:d1, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:65:fd:d0, RSSI: -91
SSID: eduroam, BSSID: 1c:28:af:62:b1:00, RSSI: -80
SSID: tudelft-dastud, BSSID: 1c:28:af:62:b1:01, RSSI: -80
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:34:f1, RSSI: -94
SSID: TUD-facility, BSSID: d0:4d:c6:f2:34:f2, RSSI: -94
SSID: eduroam, BSSID: 1c:28:af:62:64:50, RSSI: -72
SSID: tudelft-dastud, BSSID: 1c:28:af:62:64:51, RSSI: -72
SSID: eduroam, BSSID: d0:4d:c6:f2:50:90, RSSI: -78
SSID: TUD-facility, BSSID: 1c:28:af:62:b1:02, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:62:64:52, RSSI: -72
SSID: eduroam, BSSID: 1c:28:af:65:fe:a0, RSSI: -81
SSID: TUD-facility, BSSID: 1c:28:af:65:fd:d2, RSSI: -91
SSID: TUD-facility, BSSID: d0:4d:c6:f2:2e:82, RSSI: -87
SSID: eduroam, BSSID: 1c:28:af:61:df:00, RSSI: -78
SSID: eduroam, BSSID: 1c:28:af:65:fd:c0, RSSI: -82
SSID: tudelft-dastud, BSSID: 1c:28:af:61:df:01, RSSI: -79
SSID: TUD-facility, BSSID: 1c:28:af:61:df:02, RSSI: -80
SSID: TUD-facility, BSSID: d0:4d:c6:f2:50:82, RSSI: -91
