SSID: moto g73 5G_6343, BSSID: 3e:60:75:72:70:a2, RSSI: -75
SSID: TUD-facility, BSSID: 1c:28:af:65:fe:b2, RSSI: -85
SSID: tudelft-dastud, BSSID: 1c:28:af:65:fe:b1, RSSI: -84
SSID: eduroam, BSSID: d0:4d:c6:f2:43:b0, RSSI: -76
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:b1, RSSI: -76
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:a2, RSSI: -73
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:a1, RSSI: -75
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:b2, RSSI: -76
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:d2, RSSI: -59
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:d0, RSSI: -59
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:d1, RSSI: -59
SSID: Pixel_9827, BSSID: 36:39:b2:f4:c7:c5, RSSI: -76
SSID: TUD-facility, BSSID: 1c:28:af:61:ec:b2, RSSI: -74
SSID: tudelft-dastud, BSSID: 1c:28:af:61:ec:b1, RSSI: -74
SSID: eduroam, BSSID: 1c:28:af:61:ec:b0, RSSI: -82
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:33:d1, RSSI: -87
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:43:71, RSSI: -92
SSID: TUD-facility, BSSID: d0:4d:c6:f2:33:d2, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:43:72, RSSI: -92
SSID: eduroam, BSSID: d0:4d:c6:f2:43:70, RSSI: -92
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:f9:c1, RSSI: -70
SSID: TUD-facility, BSSID: d0:4d:c6:f2:f9:c2, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:f9:c0, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:33:d0, RSSI: -88
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:42, RSSI: -70
SSID: tudelft-dastud, BSSID: d0:4d:c6:f2:5d:41, RSSI: -69
SSID: eduroam, BSSID: d0:4d:c6:f2:5d:40, RSSI: -70
SSID: eduroam, BSSID: d0:4d:c6:f2:36:b0, RSSI: -86
SSID: TUD-facility, BSSID: d0:4d:c6:f2:5d:52, RSSI: -72
